Occupation,Detailed Work Activity,Code,Group
Neurologists,Examine patients to assess general physical condition.,29-1217.00,Medical and Surgical Specialists
Neurologists,Order medical diagnostic or clinical tests.,29-1217.00,Medical and Surgical Specialists
Neurologists,Diagnose medical conditions.,29-1217.00,Medical and Surgical Specialists
Neurologists,Administer non-intravenous medications.,29-1217.00,Medical and Surgical Specialists
Neurologists,"Monitor patient conditions during treatments, procedures, or activities.",29-1217.00,Medical and Surgical Specialists
Neurologists,Prescribe medications.,29-1217.00,Medical and Surgical Specialists
Neurologists,Treat chronic diseases or disorders.,29-1217.00,Medical and Surgical Specialists
Neurologists,Communicate detailed medical information to patients or family members.,29-1217.00,Medical and Surgical Specialists
Neurologists,Develop medical treatment plans.,29-1217.00,Medical and Surgical Specialists
Neurologists,Inform medical professionals regarding patient conditions and care.,29-1217.00,Medical and Surgical Specialists
Neurologists,Record patient medical histories.,29-1217.00,Medical and Surgical Specialists
Neurologists,Advise patients on effects of health conditions or treatments.,29-1217.00,Medical and Surgical Specialists
Neurologists,Collaborate with healthcare professionals to plan or provide treatment.,29-1217.00,Medical and Surgical Specialists
Neurologists,Refer patients to other healthcare practitioners or health resources.,29-1217.00,Medical and Surgical Specialists
Neurologists,Advise medical personnel regarding healthcare issues.,29-1217.00,Medical and Surgical Specialists
Neurologists,Prescribe treatments or therapies.,29-1217.00,Medical and Surgical Specialists
Neurologists,Maintain medical or professional knowledge.,29-1217.00,Medical and Surgical Specialists
Neurologists,Train medical providers.,29-1217.00,Medical and Surgical Specialists
Neurologists,Supervise patient care personnel.,29-1217.00,Medical and Surgical Specialists
Neurologists,Conduct research to increase knowledge about medical issues.,29-1217.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Analyze test data or images to inform diagnosis or treatment.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Care for women during pregnancy and childbirth.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Treat chronic diseases or disorders.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,"Collect medical information from patients, family members, or other medical professionals.",29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Operate on patients to treat conditions.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Record patient medical histories.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Explain medical procedures or test results to patients or family members.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Administer non-intravenous medications.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Prescribe medications.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Prescribe treatments or therapies.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Advise medical personnel regarding healthcare issues.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Collaborate with healthcare professionals to plan or provide treatment.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Monitor patient progress or responses to treatments.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Refer patients to other healthcare practitioners or health resources.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Supervise patient care personnel.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Advise communities or institutions regarding health or safety issues.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Conduct research to increase knowledge about medical issues.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Design public or employee health programs.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Direct healthcare delivery programs.,29-1218.00,Medical and Surgical Specialists
Obstetricians and Gynecologists,Prepare official health documents or records.,29-1218.00,Medical and Surgical Specialists
"Pediatricians, General",Examine patients to assess general physical condition.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Administer non-intravenous medications.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Prescribe medications.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Prescribe treatments or therapies.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General","Treat acute illnesses, infections, or injuries.",29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Treat chronic diseases or disorders.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Order medical diagnostic or clinical tests.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Advise communities or institutions regarding health or safety issues.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General","Provide health and wellness advice to patients, program participants, or caregivers.",29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Explain medical procedures or test results to patients or family members.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General","Collect medical information from patients, family members, or other medical professionals.",29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Record patient medical histories.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Monitor patient progress or responses to treatments.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Supervise patient care personnel.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Design public or employee health programs.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Direct healthcare delivery programs.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Refer patients to other healthcare practitioners or health resources.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Teach classes in area of specialization.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Teach medical procedures to healthcare personnel.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Advise medical personnel regarding healthcare issues.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Operate on patients to treat conditions.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Conduct research to increase knowledge about medical issues.,29-1221.00,Medical and Surgical Specialists
"Pediatricians, General",Prepare official health documents or records.,29-1221.00,Medical and Surgical Specialists
"Physicians, Pathologists",Analyze laboratory specimens to detect abnormalities or other problems.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Diagnose medical conditions.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Operate laboratory equipment to analyze medical samples.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Prepare reports summarizing patient diagnostic or care activities.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Communicate test or assessment results to medical professionals.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Research microbiological or chemical processes or structures.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Maintain medical or professional knowledge.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Collaborate with healthcare professionals to plan or provide treatment.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Analyze test data or images to inform diagnosis or treatment.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Analyze medical data to determine cause of death.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Manage healthcare operations.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Test biological specimens to gather information about patient conditions.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Collect biological specimens from patients.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Develop health assessment methods or programs.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Train medical providers.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Supervise technical medical personnel.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Conduct research to increase knowledge about medical issues.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Present medical research reports.,29-1222.00,Medical and Surgical Specialists
"Physicians, Pathologists",Testify at legal or legislative proceedings.,29-1222.00,Medical and Surgical Specialists
